,fecha_opreal,hora_opreal,central_infotecnica_id,central_nombre,central_tipo,central_tipo_nemotecnico,generacion_real_mwh,generacion_real_ernc_mwh
118051,2021-04-08,21,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
119108,2021-04-08,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
119754,2021-04-08,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
120140,2021-04-08,15,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
120993,2021-04-08,16,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
121926,2021-04-08,11,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
122130,2021-04-08,17,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
123372,2021-04-08,18,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
123383,2021-04-08,12,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
124464,2021-04-08,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
124915,2021-04-08,13,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
125544,2021-04-08,20,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
126693,2021-04-08,14,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
126733,2021-04-08,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
127643,2021-04-08,24,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
128639,2021-04-09,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
129214,2021-04-09,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
129434,2021-04-09,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
130403,2021-04-09,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
131263,2021-04-09,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
131741,2021-04-09,23,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
132345,2021-04-09,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
133376,2021-04-09,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
133832,2021-04-09,14,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
134193,2021-04-09,7,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
135258,2021-04-09,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
135927,2021-04-09,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
136596,2021-04-09,11,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
137265,2021-04-09,12,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
137934,2021-04-09,13,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
138603,2021-04-09,15,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
139272,2021-04-09,16,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
139941,2021-04-09,17,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
140610,2021-04-09,18,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
141279,2021-04-09,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
141948,2021-04-09,20,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
142617,2021-04-09,21,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
143286,2021-04-09,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
143955,2021-04-09,24,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
144709,2021-04-10,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
